1.5,	-1,	"#NUM!"
0,	2,	"#NUM!"
0.1,	3,	7.99001243265865E+03
1,	0,	4.21024421083418E-01
1.5,	0,	2.13805569323654E-01
-1.5,	2,	"#NUM!"
1.5,	1,	2.77387803632259E-01
1.5,	2,	5.83655974166666E-01
2.3,	1.5,	9.49824471429594E-02
2.5,	1,	7.38908156502669E-02
3.5,	1,	2.22393932246407E-02
3.5,	3,	5.91618179913482E-02
3,	9,	3.97958801062385E+02
3.5,	2,	3.23071216708690E-02
1.5,	"XYZ",	"#VALUE!"
"ABC",	3,	"#VALUE!"
-3.5,	1,	"#NUM!"
-0.735,	1,	"#NUM!"
0,	1,	"#NUM!"
0.035,	1,	28.50197
1.5,	1,	0.277387804
2.5,	1,	0.073890816
3.5,	1,	0.022239393
-9,	2,	"#NUM!"
-0.735,	2,	"#NUM!"
0,	2,	"#NUM!"
0.9,	2,	2.07902713
1.9,	2,	0.296909301
0.035,	2,	1632.153707
3.5,	2,	0.032307122
4,	2,	0.017401426
0.035,	3,	186560.3542
0.7,	3,	21.97216891
0.89,	3,	10.31747308
4,	3,	0.029884924
4,	5,	0.154342549
1.5,	7,	2457.700453
3,	9,	397.9588011
