1.5,	-1,	"#NUM!"
-1,	6,	2.24886609492822E-05
0,	3,	0.0
3,	0,	4.88079256503329
1,	5,	2.71463149585049E-04
1.5,	1,	9.81666428475166E-01
-1.5,	2.5,	3.37834620874438E-01
-1.5,	14.99,	2.12185817580129E-13
1,	30,	3.53950050502547E-42
2.5,	1,	2.51671624202536
2.5,	1.5,	2.51671624202536
-2.5,	1.5,	-2.51671624202536
3.5,	1,	6.20583493206300
0.7,	3,	7.36737336693427E-03
3.5,	2,	3.83201207162936
35,	2,	1.0695052240857E+14	//	Calculation of values above 30/below -30 use the approximation
-35,	2,	1.06950522408568E+14	//		method in PHPExcel (like in Open/Libre Office), so
-35,	3,	-1.06950522408568E+14	//		results are matched against Libre Office result.
-35,	4,	1.06950522408568E+14
1.5,	"XYZ",	"#VALUE!"
"ABC",	3,	"#VALUE!"
-9,	1,	-1030.914709
-3.5,	1,	-6.205834932
-0.735,	1,	-0.392881517
0,	1,	0
0.035,	1,	0.01750268
1,	1,	0.565159098
1.5,	1,	0.981666428
2.5,	1,	2.516716242
3.5,	1,	6.205834932
-9,	2,	864.4962206
-3.5,	2,	3.832012072
-0.735,	2,	0.070619941
0,	2,	0
0.035,	2,	0.000153141
0.9,	2,	0.108259722
1,	2,	0.135747667
1.9,	2,	0.603272435
2.5,	2,	1.276466159
3.5,	2,	3.832012072
4,	2,	6.422189499
0.035,	3,	8.93298E-07
0.7,	3,	0.007367373
0.89,	3,	0.015428503
4,	3,	3.337275843
4,	5,	0.504724373
1.5,	7,	2.84064E-05
3,	9,	0.000132373
-3.5,	0,	7.378203478
-1.5,	0,	1.646723202
0,	0,	1
1,	0,	1.266065848
1.5,	0,	1.646723202
2.5,	0,	3.289839172
3.5,	0,	7.378203478
-3.5,	-1,	"#NUM!"
TRUE,	1,	"#VALUE!"
1,	TRUE,	"#VALUE!"
21,	2,	104777856.3
