1.5,	-1,	"#NUM!"
1.23,	45.67,	-2.70273112611750E+63
2.5,	0,	4.98070358446689E-01
2.5,	1,	1.45918137508313E-01
2.5,	2,	-3.81335848440038E-01
3.5,	1,	4.10188416627698E-01
3.5,	3,	-3.58335346436229E-01
4,	2,	2.15903599106990E-01
3.5,	2,	4.53714364175350E-02
12.5,	0,	-1.71214306844669E-01
12.5,	1,	-1.53838256351639E-01
12.5,	2,	1.46600185868054E-01
12.5,	22,	-3.57603435038787E+02
1.5,	"XYZ",	"#VALUE!"
"ABC",	3,	"#VALUE!"
-3.5,	1,	"#NUM!"
-0.735,	1,	"#NUM!"
0,	1,	"#NUM!"
0.035,	1,	-18.23333894
1.5,	1,	-0.412308627
2.5,	1,	0.145918138
3.5,	1,	0.410188417
-9,	2,	"#NUM!"
-0.735,	2,	"#NUM!"
0,	2,	"#NUM!"
0.9,	2,	-1.945909607
1.9,	2,	-0.669878674
0.035,	2,	-1039.697941
3.5,	2,	0.045371436
4,	2,	0.215903599
0.035,	3,	-118804.3884
0.7,	3,	-15.81947907
0.89,	3,	-8.020441252
4,	3,	-0.18202211
4,	5,	-0.795851418
1.5,	7,	-1887.397034
3,	9,	-444.9595071
