1.5,	-1,	"#NUM!"
0,	1,	0.0
1,	1,	4.40050585677130E-01
1,	5,	2.49757730211234E-04
1.9,	2,	3.29925828669785E-01
-2.5,	1.5,	-4.97094102504422E-01
3.5,	1,	1.37377527178186E-01
0.89,	3,	1.39740040278808E-02
3.5,	2,	4.58629184768290E-01
35,	2,	1.29359450880863E-01	//	Calculation of values above 30/below -30 use the approximation
-35,	2,	1.29359450880863E-01	//		method in PHPExcel (like in Open/Libre Office), so
-35,	3,	2.92070049360984E-02	//		results are matched against Libre Office result.
-35,	4,	-1.34366366012765E-01
1.5,	"XYZ",	"#VALUE!"
"ABC",	3,	"#VALUE!"
-3.5,	1,	-0.137377527
-0.735,	1,	-0.343235775
0,	1,	0
0.035,	1,	0.01749732
1.5,	1,	0.557936508
2.5,	1,	0.497094103
3.5,	1,	0.137377527
-9,	2,	0.144846369
-0.735,	2,	0.064538956
0,	2,	0
0.9,	2,	0.094586304
1.9,	2,	0.329925829
0.035,	2,	0.000153109
3.5,	2,	0.458629185
4,	2,	0.364128143
0.035,	3,	8.93161E-07
0.7,	3,	0.006929655
0.89,	3,	0.013974004
4,	3,	0.430171471
4,	5,	0.132086656
1.5,	7,	2.46798E-05
3,	9,	8.4395E-05
