"12.34+5.67j",	"123.45+67.89i",			"#NUM!"
"12.34+5.67j",						"12.34+5.67j"
"12.34+5.67i",	"123.45+67.89i",	"5.67",		"6454.936089+8718.895647i"
"12.34+5.67j",	"123.45+67.89j",	"5.67",		"6454.936089+8718.895647j"
"12.34+5.67j",	"123.45+67.89j",			"1138.4367+1537.7241j"
"12.34-5.67i",	"123.45+67.89i",			"1908.3093+137.8011i"
"12.34+5.67i",	"123.45-67.89i",			"1908.3093-137.8011i"
"12.34-5.67i",	"123.45-67.89i",			"1138.4367-1537.7241i"
"-12.34+5.67i",	"123.45+67.89i",			"-1908.3093-137.8011i"
"-12.34-5.67i",	"123.45+67.89i",			"-1138.4367-1537.7241i"
"12.34+5.67i",	"-123.45+67.89i",			"-1908.3093+137.8011i"
"-12.34+5.67i",	"-123.45+67.89i",			"1138.4367-1537.7241i"
"-12.34-5.67i",	"-123.45-67.89i",			"1138.4367+1537.7241i"
